Elapsed time;Config--load
15:45:21,0;67.0
15:45:21,500;67.0
15:45:22,0;67.0
15:45:22,500;67.0
15:45:23,0;67.0
15:45:23,500;67.0
15:45:24,0;67.0
15:45:24,500;67.0
15:45:25,0;67.0
15:45:25,500;68.0
15:45:26,0;68.0
15:45:26,500;68.0
15:45:27,0;68.0
15:45:27,500;68.0
15:45:28,0;68.0
15:45:28,500;68.0
15:45:29,0;68.0
15:45:29,500;68.0
15:45:30,0;68.0
15:45:30,500;69.0
15:45:31,0;69.0
15:45:31,500;69.0
15:45:32,0;69.0
15:45:32,500;69.0
15:45:33,0;69.0
15:45:33,500;69.0
15:45:34,0;69.0
15:45:34,500;69.0
15:45:35,0;69.0
15:45:35,500;69.85714285714286
15:45:36,0;70.0
15:45:36,500;70.0
15:45:37,0;70.0
15:45:37,500;70.0
15:45:38,0;70.0
15:45:38,500;70.0
15:45:39,0;70.0
15:45:39,500;70.0
15:45:40,0;70.0
15:45:40,500;70.66666666666667
15:45:41,0;71.0
15:45:41,500;71.0
15:45:42,0;71.0
15:45:42,500;71.0
15:45:43,0;71.0
15:45:43,500;71.0
15:45:44,0;71.0
15:45:44,500;71.0
15:45:45,0;71.0
15:45:45,500;72.0
15:45:46,0;72.0
15:45:46,500;72.0
15:45:47,0;72.0
15:45:47,500;72.0
15:45:48,0;72.0
15:45:48,500;72.0
15:45:49,0;72.0
15:45:49,500;72.0
15:45:50,0;72.0
15:45:50,500;73.0
15:45:51,0;73.0
15:45:51,500;73.0
15:45:52,0;73.0
15:45:52,500;73.0
15:45:53,0;73.0
15:45:53,500;73.0
15:45:54,0;73.0
15:45:54,500;73.0
15:45:55,0;73.0
15:45:55,500;74.0
15:45:56,0;74.0
15:45:56,500;74.0
15:45:57,0;74.0
15:45:57,500;74.0
15:45:58,0;74.0
15:45:58,500;74.0
15:45:59,0;74.0
15:45:59,500;74.0
15:46:00,0;74.0
15:46:00,500;74.66666666666667
15:46:01,0;75.0
15:46:01,500;75.0
15:46:02,0;45.53333333333333
